"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","FYPilot Unit Tests","0","Auth Service","1","0","Get current active user when inactive raises 403","0"
"0","FYPilot Unit Tests","0","Services","1","0","Deactivate expired students zero updates","0"
"0","FYPilot Unit Tests","0","Faculty Service","1","0","Recommend supervisors success calls group repo ai and cache set","0"
"0","FYPilot Unit Tests","0","Auth Service","1","0","User create when password missing special raises value error","0"
"0","FYPilot Unit Tests","0","Services","1","0","Placeholder passes","0"
"0","FYPilot Unit Tests","0","Configuration","1","0","Settings loads","0"
"0","FYPilot Unit Tests","0","Auth Service","1","0","Verify password when correct returns true","0"
"0","FYPilot Unit Tests","0","Faculty Service","1","0","Refresh supervisor index calls client with secret","0"
"0","FYPilot Unit Tests","0","Jury Service","1","0","Get batch matches success records circuit success","0"
"0","FYPilot Unit Tests","0","Student Service","1","0","Get dashboard when no group returns empty envelope","0"
"0","FYPilot Unit Tests","0","Jury Service","1","0","Get batch matches circuit open raises before client","0"
"0","FYPilot Unit Tests","0","Admin Service","1","0","Get dashboard payload calls repo methods and returns envelope","0"
"0","FYPilot Unit Tests","0","Faculty Service","1","0","Recommend supervisors cache hit skips ai and group fetch","0"
"0","FYPilot Unit Tests","0","Auth Service","1","0","Create access token when called returns decodable jwt","0"
"0","FYPilot Unit Tests","0","Faculty Service","1","0","Health check delegates to ai client","0"
"0","FYPilot Unit Tests","0","Student Service","1","0","Get dashboard when group exists builds profile and widgets","0"
"0","FYPilot Unit Tests","0","Auth Service","1","0","Get current user when decode raises returns 401","0"
"0","FYPilot Unit Tests","0","Auth Service","1","0","New access token can replace expired token same user","0"
"0","FYPilot Unit Tests","0","Auth Service","1","0","Decode access token when expired raises http 401","0"
"0","FYPilot Unit Tests","0","Admin Service","1","0","Create supervisor duplicate email raises value error","0"
"0","FYPilot Unit Tests","0","Auth Service","1","0","Hash password when plain password returns bcrypt prefix","0"
"0","FYPilot Unit Tests","0","Jury Service","1","0","Create assignment batch adds batch and commits","0"
"0","FYPilot Unit Tests","0","Admin Service","1","0","Process single item skips when email already registered","0"
"0","FYPilot Unit Tests","0","Faculty Service","1","0","Recommend supervisors group not found raises value error","0"
"0","FYPilot Unit Tests","0","Jury Service","1","0","Reset all jury data commits after repository","0"
"0","FYPilot Unit Tests","0","Jury Service","1","0","Health check calls client","0"
"0","FYPilot Unit Tests","0","Jury Service","1","0","Normalize ai payload flattens dict assignments","0"
"0","FYPilot Unit Tests","0","Auth Service","1","0","Get current user when valid returns user","0"
"0","FYPilot Unit Tests","0","Jury Service","1","0","Get batch matches service error records failure","0"
"0","FYPilot Unit Tests","0","Jury Service","1","0","Get jury matches returns none when no latest batch","0"
"0","FYPilot Unit Tests","0","Admin Service","1","0","Create student duplicate email raises value error","0"
"0","FYPilot Unit Tests","0","Jury Service","1","0","Proposal introduction above max rejected by schema","0"
"0","FYPilot Unit Tests","0","Admin Service","1","0","Evaluation status uses repo counts when milestone active","0"
"0","FYPilot Unit Tests","0","Student Service","1","0","Get dashboard when tasks counts mix maps status distribution","0"
"0","FYPilot Unit Tests","0","Faculty Service","1","0","Get dashboard payload supervisor calls repo and omits jury section","0"
"0","FYPilot Unit Tests","0","Faculty Service","1","0","Transform members maps skills and portfolio","0"
"0","FYPilot Unit Tests","0","Configuration","1","0","Settings jwt algorithm default","0"
"0","FYPilot Unit Tests","0","Student Service","1","0","Get dashboard when fyp2 passes fyp2 targets for submission requests","0"
"0","FYPilot Unit Tests","0","Configuration","1","0","Settings env is testing","0"
"0","FYPilot Unit Tests","0","Auth Service","1","0","Require roles when admin required and user student raises 403","0"
"0","FYPilot Unit Tests","0","Jury Service","1","0","Trigger reindex returns client payload","0"
"0","FYPilot Unit Tests","0","Auth Service","1","0","Require roles when admin required and user admin returns user","0"
"0","FYPilot Unit Tests","0","Faculty Service","1","0","Transform recommendations scales fractional score to percent","0"
"0","FYPilot Unit Tests","0","Configuration","1","0","Settings redis url present","0"
"0","FYPilot Unit Tests","0","Services","1","0","Deactivate expired students returns rowcount","0"
"0","FYPilot Unit Tests","0","Jury Service","1","0","Update assignment jury returns none when pair missing","0"
"0","FYPilot Unit Tests","0","Auth Service","1","0","User create when password too short raises value error","0"
