"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","test_get_current_active_user_when_inactive_raises_403","tests.unit.auth","2026-05-11","passed","2026-05-11","TestSupabaseAuthActiveUser","test_auth_service","",""
"When no rows match, rowcount should be 0.","3","test_deactivate_expired_students_zero_updates","tests.unit.services","2026-05-11","passed","2026-05-11","","test_student_lifecycle","",""
"","15","test_recommend_supervisors_success_calls_group_repo_ai_and_cache_set","tests.unit.supervisor","2026-05-11","passed","2026-05-11","TestSupervisorRecommendationServiceRecommendSupervisors","test_supervisor_service","",""
"","17","test_user_create_when_password_missing_special_raises_value_error","tests.unit.auth","2026-05-11","passed","2026-05-11","TestUserCreateValidation","test_auth_service","",""
"Placeholder test to keep pytest happy.","0","test_placeholder_passes","tests.unit.services","2026-05-11","passed","2026-05-11","TestServicePlaceholders","test_placeholder","",""
"Settings should instantiate without errors when env vars are set.","41","test_settings_loads","tests.unit","2026-05-11","passed","2026-05-11","TestConfigSettings","test_config","",""
"","1233","test_verify_password_when_correct_returns_true","tests.unit.auth","2026-05-11","passed","2026-05-11","TestPasswordHashing","test_auth_service","",""
"","10","test_refresh_supervisor_index_calls_client_with_secret","tests.unit.supervisor","2026-05-11","passed","2026-05-11","TestSupervisorRecommendationServiceRefreshIndex","test_supervisor_service","",""
"","10","test_get_batch_matches_success_records_circuit_success","tests.unit.jury","2026-05-11","passed","2026-05-11","TestJuryMatchingServiceGetBatchMatches","test_jury_service","",""
"","3","test_get_dashboard_when_no_group_returns_empty_envelope","tests.unit.student","2026-05-11","passed","2026-05-11","TestStudentDashboardServiceGetDashboardPayload","test_student_service","",""
"","4","test_get_batch_matches_circuit_open_raises_before_client","tests.unit.jury","2026-05-11","passed","2026-05-11","TestJuryMatchingServiceGetBatchMatches","test_jury_service","",""
"","19","test_get_dashboard_payload_calls_repo_methods_and_returns_envelope","tests.unit.admin","2026-05-11","passed","2026-05-11","TestAdminDashboardService","test_admin_service","",""
"","12","test_recommend_supervisors_cache_hit_skips_ai_and_group_fetch","tests.unit.supervisor","2026-05-11","passed","2026-05-11","TestSupervisorRecommendationServiceRecommendSupervisors","test_supervisor_service","",""
"","1","test_create_access_token_when_called_returns_decodable_jwt","tests.unit.auth","2026-05-11","passed","2026-05-11","TestJwtTokens","test_auth_service","",""
"","11","test_health_check_delegates_to_ai_client","tests.unit.supervisor","2026-05-11","passed","2026-05-11","TestSupervisorRecommendationServiceHealthCheck","test_supervisor_service","",""
"","13","test_get_dashboard_when_group_exists_builds_profile_and_widgets","tests.unit.student","2026-05-11","passed","2026-05-11","TestStudentDashboardServiceGetDashboardPayload","test_student_service","",""
"","5","test_get_current_user_when_decode_raises_returns_401","tests.unit.auth","2026-05-11","passed","2026-05-11","TestSupabaseAuthGetCurrentUser","test_auth_service","",""
"
        Stand-in for ""refresh"": this API does not expose a refresh-token endpoint;
        clients must obtain a new access token via login (or role update) flow.
        ","2","test_new_access_token_can_replace_expired_token_same_user","tests.unit.auth","2026-05-11","passed","2026-05-11","TestJwtTokens","test_auth_service","",""
"","1","test_decode_access_token_when_expired_raises_http_401","tests.unit.auth","2026-05-11","passed","2026-05-11","TestJwtTokens","test_auth_service","",""
"","2","test_create_supervisor_duplicate_email_raises_value_error","tests.unit.admin","2026-05-11","passed","2026-05-11","TestBulkImportCreateSingleSupervisor","test_admin_service","",""
"","689","test_hash_password_when_plain_password_returns_bcrypt_prefix","tests.unit.auth","2026-05-11","passed","2026-05-11","TestPasswordHashing","test_auth_service","",""
