user_id,department,designation,office,requirements,capacity_max,capacity_filled,project_type,is_supervisor,is_jury,is_active
46483868-4985-467a-a563-6e856a3f9f7b,Information Systems,Lecturer,IS-112,"{""Weekly sync"",""Timely updates""}",5,0,product and research,t,t,t
6a1221f3-e73e-47d6-8a08-0bbcbe7fd6fc,Computer Science,Associate Professor,CS-214,"{""Weekly sync"",""Timely updates""}",8,0,product and research,t,t,t
866b5ed2-fab7-4790-8b73-0aa286684123,Electrical Engineering,Associate Professor,EE-310,"{""Weekly sync"",""Timely updates""}",7,0,product,t,t,t
f5e75e60-f515-4a65-943d-e32bf17edd75,Information Technology,Assistant Professor,IT-122,"{""Weekly sync"",""Timely updates""}",6,1,product and research,t,t,t
d013f7c6-d15b-48b2-9808-b877a4cb9216,Business & Management,Lecturer,BM-118,"{""Weekly sync"",""Timely updates""}",5,0,product and research,t,t,t
a9f3ba7b-5e60-4e8a-9d29-f3dc9b46a425,Software Engineering,Assistant Professor,SE-219,"{""Weekly sync"",""Timely updates""}",7,0,research,t,t,t
5c0212e9-8dbc-4922-8d99-72c69b1f0d61,Computer Science,Professor,FAST-NUCES Karachi,"{""Strong fundamentals in Computer Vision & Machine Learning"",""Python proficiency (OpenCV, PyTorch/TensorFlow)"",""Ability to read and implement research papers"",""Weekly progress updates"",""High-quality technical documentation"",""Commitment to research-oriented development""}",10,1,research,t,t,t
3ec77b2e-dfb9-4623-864c-241ba572acb7,Software Engineering,Professor,SE-207,"{""Weekly sync"",""Timely updates""}",9,3,product,t,t,t
d70012bf-8134-41d3-888e-bbedf962ead1,Artificial Intelligence,Professor,FAST-NUCES Karachi,"{""Strong NLP fundamentals"",""Python + text preprocessing experience"",""Familiarity with transformers / LLM concepts"",""Experimentation mindset (metrics + evaluation)"",""Weekly written progress report"",""Clear documentation of model decisions""}",10,1,research,t,t,t
0844b697-4739-4129-90be-eccb8e1d8ef8,Computer Science,Lecturer,CS-105,"{""Weekly sync"",""Timely updates""}",6,0,product and research,t,t,t
124ac69c-556a-4e27-9f6a-e7225568f8e2,Computer Science,Associate Professor,Block A - Room 204,"{""Weekly progress update"",""Minimum 3 member team""}",5,0,product and research,t,t,t
