"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","FYPilot API Tests","0","Faculty","0","1","faculty reject request — Happy path","0"
"0","FYPilot API Tests","0","Faculty","1","0","supervisor groups dropdown — Auth missing","0"
"0","FYPilot API Tests","0","Admin","0","1","admin list faculty — Wrong role","0"
"0","FYPilot API Tests","0","Student","0","1","announcement templates — Happy path","0"
"0","FYPilot API Tests","0","Faculty","0","1","supervisor group profile — Happy path","0"
"0","FYPilot API Tests","0","Student","0","1","official submission detail — Happy path","0"
"0","","0","","13","63","","0"
"0","FYPilot API Tests","0","Jury","0","1","delete all assignments — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin milestone detail — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin faculty dropdown — Not found","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty dashboard insights — Happy path","0"
"0","FYPilot API Tests","0","Student","0","1","unofficial submissions list — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin delete announcement — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin proposal evaluation config — Not found","0"
"0","FYPilot API Tests","0","Student","0","1","patch student profile — Wrong role","0"
"0","FYPilot API Tests","0","Jury","0","1","jury assignments list — Happy path","0"
"0","FYPilot API Tests","0","Admin","0","1","admin assign supervisor — Not found","0"
"0","FYPilot API Tests","0","Admin","0","1","admin assign supervisor — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","1","0","admin assign supervisor — Auth missing","0"
"0","FYPilot API Tests","0","Admin","1","0","admin proposal evaluation config — Auth missing","0"
"0","FYPilot API Tests","0","Student","1","0","unofficial submissions list — Auth missing","0"
"0","FYPilot API Tests","0","Student","0","1","milestones list — Happy path","0"
"0","Auth","0","Password reset","1","0","No email enumeration — same response body","0"
"0","FYPilot API Tests","0","Admin","0","1","admin create milestone — Wrong role","0"
"0","FYPilot API Tests","0","Admin","1","0","admin announcement file download — Auth missing","0"
"0","FYPilot API Tests","0","Faculty","0","1","faculty wizard profile — Wrong role","0"
"0","FYPilot API Tests","0","Student","0","1","dashboard insights — Wrong role","0"
"0","FYPilot API Tests","0","Student","0","1","milestone by id — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin submission list — Invalid body or query","0"
"0","FYPilot API Tests","0","Admin","0","1","admin wizard profile — Happy path","0"
